Name,Price,Discount,Rating,Offers,Capacity,Seller Name,Highlights,Services,Description
LAPCARE M.2 256 GB Laptop Internal Solid State Drive (S...,"₹1,979",50% off,,"Bank Offer,10% off on Canara Bank Credit Card Transactions, up to ₹1,500 on orders of ₹5,000 and above,Bank Offer,Flat ₹1,000 off on OneCard Credit Card and Credit EMI Transactions on orders of ₹10,000 and above,Bank Offer,8% off on Yes Bank Credit Card EMI Transactions, up to ₹2,000 on orders of ₹10,000 and above,Buy This Product and get ₹500 Off on Next AC Purchase*",,Thunderz,"Type: SSD,Interface: M.2,Form Factor: M.2,Capacity: 256 GB,Laptop","3,Cash on Delivery available,No Returns Applicable",
Crucial 2 TB External Solid State Drive (SSD),"₹13,914",37% off,4.3,"Bank Offer,10% off on Canara Bank Credit Card Transactions, up to ₹1,500 on orders of ₹5,000 and above,Bank Offer,Flat ₹1,000 off on OneCard Credit Card and Credit EMI Transactions on orders of ₹10,000 and above,Bank Offer,8% off on Yes Bank Credit Card EMI Transactions, up to ₹2,000 on orders of ₹10,000 and above,Special Price,Get extra 31% off (price inclusive of cashback/coupon)","1 TB,2 TB",RetailNet,"Portable Hard Drive,Capacity: 2 TB,Connectivity: USB 3.2,1 Port","3 Years Limited Warranty,Cash on Delivery available,7 Days Replacement Policy,GST invoice available",
SAMSUNG MU-PE4T0S/WW / T7 Shield 2TB USB 3.2 Gen 2(10 G...,"₹29,499",70% off,4.5,"Bank Offer,10% off on Canara Bank Credit Card Transactions, up to ₹1,500 on orders of ₹5,000 and above,Bank Offer,Flat ₹1,000 off on OneCard Credit Card and Credit EMI Transactions on orders of ₹10,000 and above,Bank Offer,8% off on Yes Bank Credit Card EMI Transactions, up to ₹2,000 on orders of ₹10,000 and above,Special Price,Get extra 70% off (price inclusive of cashback/coupon)","1 TB,4 TB",MPDSLERetail,"Portable Hard Drive,Capacity: 4 TB,Connectivity: USB 3.2","3 Years Warranty,Cash on Delivery available,7 Days Service Center Replacement/Repair",
"scuda SATA SSD 512 GB Laptop, Desktop, All in One PC's ...","₹3,272",63% off,4.5,"Bank Offer,10% off on Canara Bank Credit Card Transactions, up to ₹1,500 on orders of ₹5,000 and above,Bank Offer,Flat ₹1,000 off on OneCard Credit Card and Credit EMI Transactions on orders of ₹10,000 and above,Bank Offer,8% off on Yes Bank Credit Card EMI Transactions, up to ₹2,000 on orders of ₹10,000 and above,Special Price,Get extra 2% off (price inclusive of cashback/coupon)",,Thunderz,"Type: SSD,Interface: SATA,Form Factor: 2.5 Inch,Capacity: 512 GB,Laptop, Desktop, All in One PC's","Cash on Delivery available,No Returns Applicable",
SAMSUNG MU-PE4T0S/WW / T7 Shield 2TB USB 3.2 Gen 2(10 G...,"₹29,499",70% off,4.5,"Bank Offer,10% off on Canara Bank Credit Card Transactions, up to ₹1,500 on orders of ₹5,000 and above,Bank Offer,Flat ₹1,000 off on OneCard Credit Card and Credit EMI Transactions on orders of ₹10,000 and above,Bank Offer,8% off on Yes Bank Credit Card EMI Transactions, up to ₹2,000 on orders of ₹10,000 and above,Special Price,Get extra 70% off (price inclusive of cashback/coupon)","1 TB,4 TB",MPDSLERetail,"Portable Hard Drive,Capacity: 4 TB,Connectivity: USB 3.2","3 Years Warranty,Cash on Delivery available,7 Days Service Center Replacement/Repair",
Seagate One Touch with up to 1030 Mb/s for Windows & Ma...,"₹12,999",53% off,4.2,"Bank Offer,10% off on Canara Bank Credit Card Transactions, up to ₹1,500 on orders of ₹5,000 and above,Bank Offer,Flat ₹1,000 off on OneCard Credit Card and Credit EMI Transactions on orders of ₹10,000 and above,Bank Offer,8% off on Yes Bank Credit Card EMI Transactions, up to ₹2,000 on orders of ₹10,000 and above,Special Price,Get extra 35% off (price inclusive of cashback/coupon)","500 GB,1 TB,2 TB",MPDSLERetail,"Portable Hard Drive,Capacity: 2 TB,Connectivity: USB 3.0","3 Years Limited Warranty,Cash on Delivery available,7 Days Service Center Replacement/Repair,GST invoice available",
"Crucial P3 PCIe 3.0 NVMe M.2 2280 1000 GB Desktop, Lapt...","₹6,299",56% off,4.2,"Bank Offer,10% off on Canara Bank Credit Card Transactions, up to ₹1,500 on orders of ₹5,000 and above,Bank Offer,Flat ₹1,000 off on OneCard Credit Card and Credit EMI Transactions on orders of ₹10,000 and above,Bank Offer,8% off on Yes Bank Credit Card EMI Transactions, up to ₹2,000 on orders of ₹10,000 and above,Buy This Product and get ₹500 Off on Next AC Purchase*",,JupiterCompunet,"Type: SSD,Interface: PCIe NVMe,Form Factor: M.2,Capacity: 1000 GB,Desktop, Laptop","Cash on Delivery available,No Returns Applicable",
"HP HP S650 2.5"" 240 GB Laptop, Desktop, All in One PC's...","₹2,805",28% off,4,"Bank Offer,10% off on Canara Bank Credit Card Transactions, up to ₹1,500 on orders of ₹5,000 and above,Bank Offer,Flat ₹1,000 off on OneCard Credit Card and Credit EMI Transactions on orders of ₹10,000 and above,Bank Offer,8% off on Yes Bank Credit Card EMI Transactions, up to ₹2,000 on orders of ₹10,000 and above,Buy This Product and get ₹500 Off on Next AC Purchase*",,DEALSOFTHEDAYS,"Type: SSD,Interface: SATA III,Form Factor: 2.5 Inch,Capacity: 240 GB,Laptop, Desktop, All in One PC's","Cash on Delivery available,No Returns Applicable","HP SSD is the latest solution for storage technology, and it has significant benefits over traditional hard drives. Solid-state drives can improve the performance of your entire system, providing: superior performance, improved start-up time, faster application load times, longer battery life, and better system reliability. As the leader in the PC industry, HP SSD quality assurance begins at the R & D design stage and continues through the whole production process."
"MILLENNIUM TECHNOLOGY NVMe SSD 128 GB Laptop, All in On...","₹1,210",69% off,4,"Bank Offer,10% off on Canara Bank Credit Card Transactions, up to ₹1,500 on orders of ₹5,000 and above,Bank Offer,Flat ₹1,000 off on OneCard Credit Card and Credit EMI Transactions on orders of ₹10,000 and above,Bank Offer,8% off on Yes Bank Credit Card EMI Transactions, up to ₹2,000 on orders of ₹10,000 and above,Buy This Product and get ₹500 Off on Next AC Purchase*",,Millenniumtech,"Type: SSD,Interface: PCIe NVMe,Form Factor: M.2,Capacity: 128 GB,Laptop, All in One PC's, Desktop","3 year warranty,need to reach at our service center,Cash on Delivery available,No Returns Applicable",
Frontech SSD 256 GB Desktop Internal Solid State Drive ...,"₹1,685",43% off,4.3,"Bank Offer,10% off on Canara Bank Credit Card Transactions, up to ₹1,500 on orders of ₹5,000 and above,Bank Offer,Flat ₹1,000 off on OneCard Credit Card and Credit EMI Transactions on orders of ₹10,000 and above,Bank Offer,8% off on Yes Bank Credit Card EMI Transactions, up to ₹2,000 on orders of ₹10,000 and above,Buy This Product and get ₹500 Off on Next AC Purchase*",,FRONTECH ONLINE,"Type: SSD,Interface: SATA,Form Factor: 2.5 Inch,Capacity: 256 GB,Desktop","3 Years Warranty,Cash on Delivery available,No Returns Applicable",
